age,study_hours,grade
58,2.0094636748693118,72.12757815684331
48,2.433702270397228,68.90376811240253
34,3.099651365087641,65.16782127220948
27,2.4965243458838007,62.35252023358912
40,1.4493365689338673,63.71471033702681
58,3.0685629748060275,69.28776682679558
38,1.9376962862738951,63.87684465991613
42,3.4735924306351817,65.41398749373799
30,2.0805757657661967,63.44693038575494
30,4.54993440501754,64.16580652301678
43,2.216746707663763,63.909101655611494
55,2.6779384837943243,69.07075449724721
59,3.81351721736967,73.10208356939485
43,1.7691356835660448,63.89551371467131
22,3.2274599346041293,58.828511130392094
41,4.307142754282428,67.95594572812273
21,1.3925167654387725,58.46095326074397
43,3.184633858532304,65.70767427949652
49,3.2598827942484236,67.66978274186147
57,3.7818228717773104,72.10228732084805
21,1.763049289121918,55.51949046395165
40,1.6795433869157237,61.20052451554576
52,3.5219415656168978,68.3894414362354
31,3.2969846732331862,62.82948730445612
41,3.2504928503458768,66.82240655161107
44,3.346448209496976,70.16645028529547
46,2.3199752784215093,68.29928958050985
47,3.2322536971610036,67.65882737666635
35,3.293072473298681,64.41365455215303
34,2.285648581973632,60.937719569092735
22,4.865774511144757,62.40190314138893
56,3.4738329209117875,70.39128222725387
26,1.8086965027973514,60.615872924033
40,3.6565536086338297,64.73340244325595
28,2.0253183297726784,61.86907502420956
58,3.787084603742452,75.00997935049608
37,4.158595579007404,65.87279439789516
23,2.1793176816482895,60.31860466217583
44,3.9633761292443217,69.3363393385154
33,3.4127809269364984,63.192896168552124
28,3.82206015999449,63.43465715561422
45,4.896792982653947,69.40133638074832
21,2.7546118839971294,59.800886457894215
39,2.2462638356425106,62.849497035060075
47,2.1104855703744767,66.68160303296726
26,2.1841897150345617,61.41702424053237
27,2.922898290585896,64.50976516429316
54,3.341151974816644,72.12792402195039
33,3.276690799330019,68.13839387421913
36,3.8271832490360236,63.857924773067126
55,3.013001891877907,71.86024354369485
59,4.453534077157316,73.41092490406548
23,2.735343166762044,64.56201766654979
21,5.720169166589619,61.54760642919724
25,3.625667347765006,60.17135713295646
23,2.1428424435837172,58.27262564141241
48,1.9291075019388877,62.467137553707055
37,3.482472415243185,64.2274568549303
45,2.776537214674149,65.31357933450157
53,3.714000494092092,70.65758816586292
29,3.473237624573545,63.551397101042575
55,2.9271710873431274,73.76494698324353
33,2.153206281931595,64.38469521469001
